Date,MTO.L
2020-07-29,32.95743942260742
2020-07-30,31.409442901611328
2020-07-31,32.65782928466797
2020-08-03,32.30827713012695
2020-08-04,32.35821533203125
2020-08-05,33.35693359375
2020-08-06,34.00608825683594
2020-08-07,34.655250549316406
2020-08-10,35.90364074707031
2020-08-11,37.15202713012695
2020-08-12,38.450347900390625
2020-08-13,39.44906234741211
2020-08-14,38.450347900390625
2020-08-17,38.450347900390625
2020-08-18,36.353057861328125
2020-08-19,38.250606536865234
2020-08-20,36.003501892089844
2020-08-21,35.05473327636719
2020-08-24,36.353057861328125
2020-08-25,34.90492630004883
2020-08-26,33.756412506103516
2020-08-27,32.857566833496094
2020-08-28,33.25705337524414
2020-09-01,32.857566833496094
2020-09-02,31.758991241455078
2020-09-03,31.459379196166992
2020-09-04,31.758991241455078
2020-09-07,33.956153869628906
2020-09-08,32.907508850097656
2020-09-09,33.25705337524414
2020-09-10,33.706478118896484
2020-09-11,33.4567985534668
2020-09-14,33.756412506103516
2020-09-15,34.455501556396484
2020-09-16,33.65653991699219
2020-09-17,33.057315826416016
2020-09-18,32.30827713012695
2020-09-21,31.958730697631836
2020-09-22,32.757694244384766
2020-09-23,33.207122802734375
2020-09-24,32.55795669555664
2020-09-25,33.25705337524414
2020-09-28,33.956153869628906
2020-09-29,33.10725402832031
2020-09-30,32.757694244384766
2020-10-01,32.45808792114258
2020-10-02,31.559249877929688
2020-10-05,31.309568405151367
2020-10-06,31.609182357788086
2020-10-07,30.360794067382812
2020-10-08,30.161052703857422
2020-10-09,30.161052703857422
2020-10-12,32.15847396850586
2020-10-13,31.908798217773438
2020-10-14,31.858861923217773
2020-10-15,30.11111831665039
2020-10-16,31.958730697631836
2020-10-19,31.459379196166992
2020-10-20,30.46066665649414
2020-10-21,29.61176300048828
2020-10-22,28.96259880065918
2020-10-23,30.161052703857422
2020-10-26,29.062469482421875
2020-10-27,29.96131134033203
2020-10-28,28.96259880065918
2020-10-29,28.21356964111328
2020-10-30,28.16363525390625
2020-11-02,27.464536666870117
2020-11-03,27.214855194091797
2020-11-04,28.71292495727539
